Annulaphis,Annulaphis rasnitsyni,119.0,119.0
Annulaphis,Annulaphis zherichini,119.0,119.0
Anomaloscytina,Anomaloscytina incompleta,253.17,253.17
Anomaloscytina,Anomaloscytina metapteryx,253.17,253.17
Anomoscytina,Anomoscytina anomala,127.725,127.725
Anosmus,Anosmus spilopterus,182.5,182.5
Anthocephalinus,Anthocephalinus yafaensis,106.75,106.75
Anthoscytina,Anthoscytina brevineura,161.7,161.7
Anthoscytina,Anthoscytina daica,148.55,148.55
Anthoscytina,Anthoscytina elegans,161.7,161.7
Anthoscytina,Anthoscytina hongi,161.7,161.7
Anthoscytina,Anthoscytina liugouensis,161.7,161.7
Anthoscytina,Anthoscytina longa,161.7,161.7
Anthoscytina,Anthoscytina parallelica,161.7,161.7
Anthoscytina,Anthoscytina perpetua,161.7,161.7
Anthoscytina,Anthoscytina pustulosus,117.245,117.245
Anthoscytina,Anthoscytina reducta,186.75,186.75
Anthoscytina,Anthoscytina trinervus,117.245,117.245
Anticedusa,Anticedusa dominicana,17.130000000000003,17.130000000000003
Antonaphis,Antonaphis affinis,84.94999999999999,84.94999999999999
Antonaphis,Antonaphis brachycera,84.94999999999999,84.94999999999999
Aonikenkissus,Aonikenkissus zamunerae,96.55,96.55
Aphana,Aphana atava,48.25,48.25
Aphana,Aphana lithoecia,13.789000000000001,13.789000000000001
Aphana,Aphana rotundipennis,48.25,48.25
Aphanocoris,Aphanocoris femoratus,119.0,123.955
Aphanocoris,Aphanocoris parallelus,123.955,123.955
Aphanocoris,Aphanocoris porrectus,123.955,131.15
Aphanocoris,Aphanocoris turgensis,119.0,131.15
Aphanus,Aphanus contractus,31.15,31.15
Aphanus,Aphanus dilatatus,25.565,25.565
Aphanus,Aphanus murchisonae,25.565,25.565
Aphanus,Aphanus pulchellus,25.565,31.15
Aphaorus,Aphaorus curtipes,127.2,127.2
Aphelocheirus,Aphelocheirus (Aphelocheirus) affinis,3.0940000000000003,3.0940000000000003
Apheloscyta,Apheloscyta mesocampta,218.25,218.25
Apheloscyta,Apheloscyta xiangdongensis,218.25,218.25
Aphidinius,Aphidinius constrictus,77.05,77.05
Aphidioides,Aphidioides succifera,35.95,35.95
Aphidocallis,Aphidocallis caudatus,84.94999999999999,84.94999999999999
Aphidopsis,Aphidopsis margarum,35.55,35.55
Aphidulum,Aphidulum bemigdium,148.55,148.55
Aphidulum,Aphidulum ciliatum,182.5,182.5
Aphidulum,Aphidulum heckeri,161.7,161.7
Aphlebocoris,Aphlebocoris nana,182.5,182.5
Aphlebocoris,Aphlebocoris punctata,182.5,182.5
Aphrodes,Aphrodes bifasciatus,0.06885,0.06885
Aphrophora,Aphrophora (Ptyela) carbonaria,35.95,35.95
Aphrophora,Aphrophora angusta,44.55,44.55
Aphrophora,Aphrophora brevistylata,31.15,31.15
Aphrophora,Aphrophora coquandi,25.565,25.565
Aphrophora,Aphrophora dimidia,31.15,31.15
Aphrophora,Aphrophora electrina,35.95,35.95
Aphrophora,Aphrophora maculata,57.6,57.6
Aphrophora,Aphrophora molassica,25.715,25.715
Aphrophora,Aphrophora pinguicula,25.565,31.15
Aphrophora,Aphrophora protocalla,18.205000000000002,18.205000000000002
Aphrophora,Aphrophora pulchra,31.15,31.15
Aphrophora,Aphrophora spumarioides,12.154,12.154
Aphrophora,Aphrophora stavropolitana,13.789000000000001,13.789000000000001
Aphrophora,Aphrophora ungeri,12.154,12.154
Aphrophora,Aphrophora vetusta,35.95,35.95
Aphrophora,Aphrophora woodwardi,35.95,35.95
Apicrenus,Apicrenus fossilis,17.130000000000003,17.130000000000003
Apopnus,Apopnus magniclavus,182.5,182.5
Aporema,Aporema praestrictum,35.55,35.55
Apsicoria,Apsicoria semideleta,182.5,182.5
Apticoccus,Apticoccus fortis,127.725,127.725
Apticoccus,Apticoccus longitenuis,127.725,127.725
Apticoccus,Apticoccus minutus,127.725,127.725
Aquarius,Aquarius lunpolaensis,19.5,19.5
Aradoleptus,Aradoleptus birmanus,96.55,96.55
Aradus,Aradus andancensis,7.0165,7.0165
Aradus,Aradus antediluvianus,12.154,12.154
Aradus,Aradus assimilis,35.95,35.95
Aradus,Aradus balticus,35.95,35.95
Aradus,Aradus consimilis,35.95,35.95
Aradus,Aradus creticus,77.05,77.05
Aradus,Aradus damzeni,35.95,35.95
Aradus,Aradus frater,35.95,35.95
Aradus,Aradus frateroides,35.95,35.95
Aradus,Aradus goellnerae,35.95,35.95
Aradus,Aradus grabenhorsti,35.95,35.95
Aradus,Aradus kotashevichi,35.95,35.95
Aradus,Aradus lativentris,35.95,35.95
Aradus,Aradus leptosomus,35.95,35.95
