"217238","occ","","","22156","Palaeoloxodon recki","species","133588","Pleistocene","Holocene","2.588","0","4442","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"217268","occ","","","22158","Primelephas korotorensis","species","227257","Tortonian","Zanclean","11.62","3.6","4840","Chordata","Mammalia","Proboscidea","Elephantidae","Primelephas"
"217269","occ","","","22158","Stegotetrabelodon orbus","species","159434","Tortonian","Zanclean","11.62","3.6","4840","Chordata","Mammalia","Proboscidea","Elephantidae","Stegotetrabelodon"
"217276","occ","","","22158","Anancus kenyensis","species","159431","Tortonian","Zanclean","11.62","3.6","4840","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Anancus"
"217288","occ","","","22158","Stegodon kaisensis","species","162920","Tortonian","Zanclean","11.62","3.6","4840","Chordata","Mammalia","Proboscidea","Elephantidae","Stegodon"
"217292","occ","","","22159","Anancus kenyensis","species","159431","Tortonian","Zanclean","11.62","3.6","4840","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Anancus"
"217298","occ","","","22159","Stegotetrabelodon orbus","species","159434","Tortonian","Zanclean","11.62","3.6","4840","Chordata","Mammalia","Proboscidea","Elephantidae","Stegotetrabelodon"
"217299","occ","","","22159","Stegodibelodon schneideri","species","159710","Tortonian","Zanclean","11.62","3.6","4840","Chordata","Mammalia","Proboscidea","Elephantidae","Stegodibelodon"
"217329","occ","","","22172","Palaeoloxodon recki","species","133588","Pleistocene","Holocene","2.588","0","4442","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"217338","occ","","","22174","Palaeoloxodon recki","species","133588","Zanclean","Pleistocene","5.333","0.0117","5366","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"217345","occ","","","22174","Deinotherium bozasi","species","157873","Zanclean","Pleistocene","5.333","0.0117","5366","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"217372","occ","","","22176","Palaeoloxodon recki","species","133588","Zanclean","","5.333","3.6","4442","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"217391","occ","","","22177","Palaeoloxodon recki","species","133588","Pleistocene","Holocene","2.588","0","4442","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"217413","occ","","","22178","Palaeoloxodon recki","species","133588","Pliocene","Pleistocene","5.333","0.0117","5386","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"217437","occ","","","22179","Primelephas korotorensis","species","227257","Tortonian","Zanclean","11.62","3.6","4840","Chordata","Mammalia","Proboscidea","Elephantidae","Primelephas"
"217438","occ","","","22179","Stegotetrabelodon orbus","species","159434","Tortonian","Zanclean","11.62","3.6","4840","Chordata","Mammalia","Proboscidea","Elephantidae","Stegotetrabelodon"
"217445","occ","","","22179","Anancus kenyensis","species","159431","Tortonian","Zanclean","11.62","3.6","4840","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Anancus"
"217487","occ","","","22191","Loxodonta africana","species","157817","Pleistocene","Holocene","2.588","0","5283","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta"
"217515","occ","","","22197","Palaeoloxodon recki","species","133588","Zanclean","Pleistocene","5.333","0.0117","5366","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"217849","occ","","","22234","Deinotherium bozasi","species","157873","Zanclean","Piacenzian","5.333","2.588","4648","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"217860","occ","","","22234","Anancus kenyensis","species","159431","Zanclean","Piacenzian","5.333","2.588","4648","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Anancus"
"217880","occ","","","22235","Stegotetrabelodon orbus","species","159434","Tortonian","Piacenzian","11.62","2.588","8636","Chordata","Mammalia","Proboscidea","Elephantidae","Stegotetrabelodon"
"217935","occ","","","22236","Stegotetrabelodon orbus","species","159434","Tortonian","Piacenzian","11.62","2.588","5448","Chordata","Mammalia","Proboscidea","Elephantidae","Stegotetrabelodon"
"217964","occ","","","22237","Anancus kenyensis","species","159431","Late Miocene","Piacenzian","11.608","2.588","8636","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Anancus"
"217965","occ","","","22237","Stegotetrabelodon orbus","species","159434","Late Miocene","Piacenzian","11.608","2.588","8636","Chordata","Mammalia","Proboscidea","Elephantidae","Stegotetrabelodon"
"217966","occ","","","22237","Primelephas korotorensis","species","227257","Late Miocene","Piacenzian","11.608","2.588","8636","Chordata","Mammalia","Proboscidea","Elephantidae","Primelephas"
"217968","occ","","","22237","Deinotherium bozasi","species","157873","Late Miocene","Piacenzian","11.608","2.588","8636","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"218141","occ","","","22267","Deinotherium bozasi","species","157873","Messinian","Calabrian","7.246","0.781","5571","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"218143","occ","","","22267","Primelephas korotorensis","species","227257","Messinian","Calabrian","7.246","0.781","5571","Chordata","Mammalia","Proboscidea","Elephantidae","Primelephas"
"218151","occ","","","22267","Palaeoloxodon recki","species","133588","Messinian","Calabrian","7.246","0.781","5571","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"218159","occ","","","22267","Anancus kenyensis","species","159431","Messinian","Calabrian","7.246","0.781","5571","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Anancus"
"218171","occ","","","22268","Deinotherium bozasi","species","157873","Pleistocene","","2.588","0.0117","5562","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"218182","occ","","","22268","Palaeoloxodon recki","species","133588","Pleistocene","","2.588","0.0117","5562","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"218195","occ","","","22269","Deinotherium bozasi","species","157873","Pliocene","Calabrian","5.333","0.781","5574","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"218208","occ","","","22269","Palaeoloxodon recki","species","133588","Pliocene","Calabrian","5.333","0.781","5574","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"218222","occ","","","22270","Deinotherium bozasi","species","157873","Pleistocene","","2.588","0.0117","5562","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"218233","occ","","","22270","Palaeoloxodon recki","species","133588","Pleistocene","","2.588","0.0117","5562","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"218336","occ","","","22274","Primelephas korotorensis","species","227257","Messinian","","7.246","5.333","5560","Chordata","Mammalia","Proboscidea","Elephantidae","Primelephas"
"218337","occ","","","22274","Stegotetrabelodon orbus","species","159434","Messinian","","7.246","5.333","5560","Chordata","Mammalia","Proboscidea","Elephantidae","Stegotetrabelodon"
"218353","occ","","","22274","Anancus kenyensis","species","159431","Messinian","","7.246","5.333","5560","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Anancus"
"218430","occ","","","22277","Deinotherium bozasi","species","157873","Zanclean","","5.333","3.6","5563","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"218431","occ","","","22277","Primelephas korotorensis","species","227257","Zanclean","","5.333","3.6","5563","Chordata","Mammalia","Proboscidea","Elephantidae","Primelephas"
"218441","occ","","","22277","Anancus kenyensis","species","159431","Zanclean","","5.333","3.6","5563","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Anancus"
"218449","occ","","","22278","Deinotherium bozasi","species","157873","Zanclean","","5.333","3.6","5563","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"218450","occ","","","22278","Primelephas korotorensis","species","227257","Zanclean","","5.333","3.6","5563","Chordata","Mammalia","Proboscidea","Elephantidae","Primelephas"
"218456","occ","","","22278","Anancus kenyensis","species","159431","Zanclean","","5.333","3.6","5563","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Anancus"
"218534","occ","","","22303","Prodeinotherium hobleyi","species","104729","Langhian","Serravallian","15.97","11.62","5569","Chordata","Mammalia","Proboscidea","Deinotheriidae","Prodeinotherium"
"218552","occ","","","22303","Afrochoerodon kisumuensis","species","67862","Langhian","Serravallian","15.97","11.62","5569","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Afrochoerodon"
"218565","occ","","","22307","Anancus kenyensis","species","159431","Tortonian","Messinian","11.62","5.333","5563","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Anancus"
"218646","occ","","","22321","Deinotherium bozasi","species","157873","Pliocene","","5.333","2.588","5479","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"218658","occ","","","22321","Palaeoloxodon recki","species","133588","Pliocene","","5.333","2.588","5479","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"218672","occ","","","22323","Deinotherium bozasi","species","157873","Pliocene","Pleistocene","5.333","0.0117","5492","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"218681","occ","","","22323","Palaeoloxodon recki","species","133588","Pliocene","Pleistocene","5.333","0.0117","5492","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"218695","occ","","","22324","Palaeoloxodon recki","species","133588","Pliocene","Pleistocene","5.333","0.0117","5481","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"218705","occ","","","22325","Anancus kenyensis","species","159431","Pliocene","Pleistocene","5.333","0.0117","5481","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Anancus"
"218719","occ","","","22327","Palaeoloxodon recki","species","133588","Pliocene","Pleistocene","5.333","0.0117","5481","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"218724","occ","","","22328","Anancus kenyensis","species","159431","Pliocene","","5.333","2.588","5481","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Anancus"
"218740","occ","","","22337","Palaeoloxodon recki","species","133588","Calabrian","","1.806","0.781","5275","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"218744","occ","","","22338","Deinotherium bozasi","species","157873","Zanclean","","5.333","3.6","5549","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"219072","occ","","","22482","Palaeoloxodon recki","species","133588","Pleistocene","","2.588","0.0117","5616","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"219085","occ","","","22483","Palaeoloxodon recki","species","133588","Pleistocene","","2.588","0.0117","5616","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"219092","occ","","","22485","Palaeoloxodon recki","species","133588","Pliocene","Pleistocene","5.333","0.0117","5617","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"219097","occ","","","22486","Palaeoloxodon recki","species","133588","Pleistocene","","2.588","0.0117","5617","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"219101","occ","","","22487","Palaeoloxodon recki","species","133588","Pleistocene","","2.588","0.0117","5617","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"219110","occ","","","22488","Palaeoloxodon recki","species","133588","Pleistocene","","2.588","0.0117","5618","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"219170","occ","","","22491","Palaeoloxodon recki","species","133588","Gelasian","Calabrian","2.588","0.781","5626","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"219180","occ","","","22492","Palaeoloxodon recki","species","133588","Gelasian","Calabrian","2.588","0.781","9955","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"219191","occ","","","22493","Palaeoloxodon recki","species","133588","Gelasian","Calabrian","2.588","0.781","5627","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"219217","occ","","","22496","Palaeoloxodon recki","species","133588","Gelasian","Calabrian","2.588","0.781","9955","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"219230","occ","","","22497","Palaeoloxodon recki","species","133588","Gelasian","Calabrian","2.588","0.781","9955","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"219248","occ","","","22499","Palaeoloxodon recki","species","133588","Calabrian","","1.806","0.781","5627","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"219315","occ","","","22506","Stegodon kaisensis","species","162920","Pliocene","","5.333","2.588","5264","Chordata","Mammalia","Proboscidea","Elephantidae","Stegodon"
"219543","occ","","","22552","Palaeoloxodon recki","species","133588","Gelasian","Calabrian","2.588","0.781","5636","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"219560","occ","","","22553","Palaeoloxodon recki","species","133588","Gelasian","Calabrian","2.588","0.781","5636","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"219571","occ","","","22554","Palaeoloxodon recki","species","133588","Pleistocene","","2.588","0.0117","5638","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"219587","occ","","","22558","Palaeoloxodon recki","species","133588","Gelasian","Calabrian","2.588","0.781","5635","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"219592","occ","","","22559","Palaeoloxodon recki","species","133588","Pliocene","","5.333","2.588","5640","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"219664","occ","","","22577","Palaeoloxodon recki","species","133588","Gelasian","Calabrian","2.588","0.781","5636","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"219681","occ","","","22578","Palaeoloxodon recki","species","133588","Gelasian","Calabrian","2.588","0.781","5636","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"219692","occ","","","22579","Palaeoloxodon recki","species","133588","Pleistocene","","2.588","0.0117","5638","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"219708","occ","","","22583","Palaeoloxodon recki","species","133588","Gelasian","Calabrian","2.588","0.781","5635","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"219768","occ","","","22593","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4948","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"219782","occ","","","22594","Deinotherium bozasi","species","157873","Gelasian","","2.588","1.806","5271","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"219791","occ","","","22595","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4659","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"219794","occ","","","22595","Deinotherium bozasi","species","157873","Gelasian","","2.588","1.806","4659","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"219828","occ","","","22617","Palaeoloxodon recki","species","133588","Gelasian","Calabrian","2.588","0.781","4468","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"219838","occ","","","22621","Palaeoloxodon recki","species","133588","Calabrian","","1.806","0.781","5652","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"219854","occ","","","22626","Palaeoloxodon recki","species","133588","Calabrian","","1.806","0.781","4952","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"219866","occ","","","22627","Palaeoloxodon recki","species","133588","Calabrian","","1.806","0.781","4478","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"219906","occ","28233","","22633","Stegomastodon waringi","species","252389","Pleistocene","","2.588","0.0117","45412","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Stegomastodon"
"220134","occ","","","22702","Palaeoloxodon antiquus","species","159781","Pleistocene","","2.588","0.0117","5674","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"220232","occ","","","22728","Mammuthus trogontherii","species","159796","Pleistocene","","2.588","0.0117","5674","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"220436","occ","","","21871","Loxodonta africana","species","157817","Holocene","","0.0117","0","5220","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta"
"220721","occ","","","21916","Loxodonta africana","species","157817","Pleistocene","","2.588","0.0117","5235","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta"
"220787","occ","","","21930","Loxodonta africana","species","157817","Holocene","","0.0117","0","5240","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta"
"220910","occ","","","21948","Loxodonta africana","species","157817","Pleistocene","Holocene","2.588","0","5246","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta"
"220954","occ","","","21949","Loxodonta africana","species","157817","Pleistocene","Holocene","2.588","0","5248","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta"
"220984","occ","","","21950","Loxodonta africana","species","157817","Pleistocene","Holocene","2.588","0","5249","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta"
"221020","occ","","","21951","Loxodonta africana","species","157817","Pleistocene","Holocene","2.588","0","5250","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta"
"221055","occ","","","21954","Loxodonta africana","species","157817","Pleistocene","","2.588","0.0117","5232","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta"
"221068","occ","","","22236","Primelephas korotorensis","species","227257","Tortonian","Piacenzian","11.62","2.588","5448","Chordata","Mammalia","Proboscidea","Elephantidae","Primelephas"
"221375","occ","","","21280","Deinotherium bozasi","species","157873","Gelasian","","2.588","1.806","4454","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"221378","occ","","","21280","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4454","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"221399","occ","","","21282","Deinotherium bozasi","species","157873","Gelasian","","2.588","1.806","4454","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"221404","occ","","","21282","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4454","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"221438","occ","","","21283","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4454","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"221473","occ","","","21286","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4454","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"221520","occ","","","21291","Palaeoloxodon recki","species","133588","Late Pliocene","Early Pleistocene","3.6","0.781","4454","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"221566","occ","","","21301","Deinotherium bozasi","species","157873","Gelasian","","2.588","1.806","4454","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"221591","occ","","","21305","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4454","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"221596","occ","","","21306","Deinotherium bozasi","species","157873","Calabrian","","1.806","0.781","4454","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"221602","occ","","","21307","Deinotherium bozasi","species","157873","Piacenzian","","3.6","2.588","4454","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"221634","occ","","","21338","Prodeinotherium hobleyi","species","104729","Serravallian","","13.82","11.62","4653","Chordata","Mammalia","Proboscidea","Deinotheriidae","Prodeinotherium"
"221648","occ","","","21339","Prodeinotherium hobleyi","species","104729","Serravallian","","13.82","11.62","4653","Chordata","Mammalia","Proboscidea","Deinotheriidae","Prodeinotherium"
"221681","occ","","","21342","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4454","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"221719","occ","","","21344","Deinotherium bozasi","species","157873","Piacenzian","Gelasian","3.6","1.806","4454","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"221728","occ","","","21344","Palaeoloxodon recki","species","133588","Piacenzian","Gelasian","3.6","1.806","4454","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"221739","occ","","","21345","Deinotherium bozasi","species","157873","Gelasian","","2.588","1.806","4454","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"221760","occ","","","21345","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4454","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"221768","occ","","","21346","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4454","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"221792","occ","","","21347","Palaeoloxodon recki","species","133588","Calabrian","","1.806","0.781","4454","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"221821","occ","","","21350","Palaeoloxodon recki","species","133588","Gelasian","Calabrian","2.588","0.781","4454","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"221845","occ","","","21353","Deinotherium bozasi","species","157873","Gelasian","","2.588","1.806","4454","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"221848","occ","","","21353","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4454","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"221854","occ","","","21353","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4454","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"221876","occ","","","21354","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4454","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"221887","occ","","","21355","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4454","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"221899","occ","","","21356","Deinotherium bozasi","species","157873","Gelasian","","2.588","1.806","4454","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"221903","occ","","","21356","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","4454","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"221927","occ","","","21367","Deinotherium bozasi","species","157873","Late Pliocene","Calabrian","3.6","0.781","10214","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"221970","occ","","","21368","Palaeoloxodon recki","species","133588","Calabrian","","1.806","0.781","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"222015","occ","","","21370","Deinotherium bozasi","species","157873","Late Pliocene","Calabrian","3.6","0.781","10214","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"222031","occ","","","21370","Palaeoloxodon recki","species","133588","Late Pliocene","Calabrian","3.6","0.781","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"222032","occ","","","21370","Palaeoloxodon recki","species","133588","Late Pliocene","Calabrian","3.6","0.781","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"222040","occ","","","21370","Palaeoloxodon recki","species","133588","Late Pliocene","Calabrian","3.6","0.781","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"222048","occ","","","21376","Deinotherium bozasi","species","157873","Gelasian","","2.588","1.806","10214","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"222118","occ","","","21398","Deinotherium bozasi","species","157873","Gelasian","","2.588","1.806","10214","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"222120","occ","","","21398","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"222200","occ","","","21403","Palaeoloxodon recki","species","133588","Calabrian","","1.806","0.781","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"222222","occ","","","21408","Deinotherium bozasi","species","157873","Piacenzian","","3.6","2.588","10214","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"222235","occ","","","21410","Deinotherium bozasi","species","157873","Gelasian","","2.588","1.806","10214","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"222237","occ","","","21410","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"222305","occ","","","21420","Deinotherium bozasi","species","157873","Gelasian","","2.588","1.806","10214","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"222333","occ","","","21424","Deinotherium bozasi","species","157873","Piacenzian","","3.6","2.588","10214","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"222339","occ","","","21425","Palaeoloxodon recki","species","133588","Piacenzian","","3.6","2.588","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"222430","occ","","","21445","Palaeoloxodon recki","species","133588","Pliocene","Pleistocene","5.333","0.0117","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"222463","occ","","","21448","Palaeoloxodon recki","species","133588","Pliocene","Pleistocene","5.333","0.0117","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"222524","occ","","","21454","Palaeoloxodon recki","species","133588","Pliocene","Pleistocene","5.333","0.0117","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"222563","occ","","","21457","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"222574","occ","","","21457","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"222590","occ","","","21458","Deinotherium bozasi","species","157873","Late Pliocene","Calabrian","3.6","0.781","10214","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"222611","occ","","","21460","Deinotherium bozasi","species","157873","Gelasian","","2.588","1.806","10214","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"222620","occ","","","21461","Deinotherium bozasi","species","157873","Gelasian","","2.588","1.806","10214","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"222633","occ","","","21461","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"222653","occ","","","21462","Deinotherium bozasi","species","157873","Late Pliocene","Calabrian","3.6","0.781","10214","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"222694","occ","","","21464","Deinotherium bozasi","species","157873","Late Pliocene","Calabrian","3.6","0.781","10214","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"222704","occ","","","21464","Palaeoloxodon recki","species","133588","Late Pliocene","Calabrian","3.6","0.781","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"222720","occ","","","21467","Palaeoloxodon recki","species","133588","Pliocene","Pleistocene","5.333","0.0117","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"222759","occ","","","21472","Palaeoloxodon recki","species","133588","Pliocene","Pleistocene","5.333","0.0117","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"222783","occ","","","21474","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"222789","occ","","","21475","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"222815","occ","","","21478","Deinotherium bozasi","species","157873","Gelasian","","2.588","1.806","10214","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"222855","occ","","","21481","Deinotherium bozasi","species","157873","Piacenzian","","3.6","2.588","10214","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"222856","occ","","","21481","Palaeoloxodon recki","species","133588","Piacenzian","","3.6","2.588","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"222862","occ","","","21482","Deinotherium bozasi","species","157873","Piacenzian","","3.6","2.588","10214","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"222864","occ","","","21482","Palaeoloxodon recki","species","133588","Piacenzian","","3.6","2.588","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"222909","occ","","","21486","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"222920","occ","","","21488","Deinotherium bozasi","species","157873","Gelasian","","2.588","1.806","10214","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
"222922","occ","","","21488","Palaeoloxodon recki","species","133588","Gelasian","","2.588","1.806","10215","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"222991","occ","","","21498","Deinotherium bozasi","species","157873","Pliocene","Calabrian","5.333","0.781","10214","Chordata","Mammalia","Proboscidea","Deinotheriidae","Deinotherium"
