"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","image_no","lng","lat"
"184800","occ","","","18110","Rhynchotherium","genus","43256","Late Hemphillian","","10.3","4.9","6209","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium","1254","-101.900002","35.000000"
"184812","occ","","","18113","Gomphotheriidae","family","43240","Miocene","","23.03","5.333","3356","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-100.699997","43.200001"
"184821","occ","","","18117","Gomphotherium","genus","43247","Barstovian","","15.97","13.6","1791","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-101.800003","43.200001"
"184853","occ","","","18121","Gomphotheriidae","family","43240","Barstovian","","15.97","13.6","3510","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-100.800003","42.799999"
"184887","occ","","","18124","Gomphotherium","genus","43247","Barstovian","","15.97","13.6","6193","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-100.000000","42.700001"
"185058","occ","5627","","18141","Gomphotherium","genus","43247","Barstovian","","15.97","13.6","3510","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-100.050499","42.806099"
"185082","occ","","","18147","Eubelodon morrilli","species","46347","Clarendonian","","13.6","10.3","6193","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Eubelodon","1254","-100.000000","42.700001"
"185096","occ","","","18154","Gomphotheriidae","family","43240","Barstovian","","15.97","13.6","6193","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-100.000000","42.700001"
"185102","occ","","","18156","Gomphotheriidae","family","43240","Clarendonian","","13.6","10.3","3510","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-100.800003","42.799999"
"185109","occ","","","18157","Gomphotherium","genus","43247","Clarendonian","","13.6","10.3","3564","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-100.800003","42.799999"
"185121","occ","","","18158","Gomphotheriidae","family","43240","Hemphillian","","10.3","4.9","3510","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-101.716667","41.133331"
"185191","occ","5663","","18164","Tetrabelodon osborni","species","52204","Barstovian","","15.97","13.6","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-98.800003","42.900002"
"185223","occ","","","18165","Proboscidea","order","43230","Barstovian","","15.97","13.6","3239","Chordata","Mammalia","Proboscidea","","","1148","-100.800003","42.799999"
"185234","occ","","","18166","Gomphotheriidae","family","43240","Hemphillian","","10.3","4.9","1058","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-101.699997","38.900002"
"185275","occ","","","18176","Gomphotherium","genus","43247","Clarendonian","","13.6","10.3","3564","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-100.800003","42.799999"
"185322","occ","","","18185","Gomphotherium","genus","43247","Miocene","","23.03","5.333","3356","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-99.300003","43.299999"
"185374","occ","5718","","18192","Tetrabelodon osborni","species","52204","Barstovian","","15.97","13.6","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-101.099998","40.200001"
"185375","occ","","","18192","Zygolophodon","genus","95509","Barstovian","","15.97","13.6","3510","Chordata","Mammalia","Proboscidea","Mammutidae","Zygolophodon","1148","-101.099998","40.200001"
"185397","occ","","","18194","Gomphotherium","genus","43247","Clarendonian","","13.6","10.3","3564","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-100.800003","42.799999"
"185406","occ","5731","","18197","Gomphotheriidae","family","43240","Clarendonian","","13.6","10.3","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-103.800003","42.400002"
"185422","occ","5737","","18198","Amebelodon floridanus","species","47934","Hemphillian","","10.3","4.9","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Amebelodon","1254","-100.099998","36.099998"
"185436","occ","","","18199","Gomphotherium","genus","43247","Barstovian","","15.97","13.6","3510","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-99.699997","42.799999"
"185471","occ","","","18201","Gomphotheriidae","family","43240","Hemphillian","","10.3","4.9","3510","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-98.800003","42.700001"
"185495","occ","","","18203","Gomphotheriidae","family","43240","Barstovian","","15.97","13.6","6198","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-104.199997","40.799999"
"185496","occ","5753","","18203","Zygolophodon","genus","95509","Barstovian","","15.97","13.6","6294","Chordata","Mammalia","Proboscidea","Mammutidae","Zygolophodon","1148","-104.199997","40.799999"
"185502","occ","","","18204","Eubelodon morrilli","species","46347","Clarendonian","","13.6","10.3","6193","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Eubelodon","1254","-100.000000","42.700001"
"185516","occ","5758","","18206","Tetrabelodon osborni","species","52204","Barstovian","","15.97","13.6","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-103.800003","41.500000"
"185564","occ","","","18208","Gomphotherium","genus","43247","Barstovian","","15.97","13.6","781","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-103.800003","41.500000"
"185599","occ","5782","","18209","Tetrabelodon osborni","species","52204","Barstovian","","15.97","13.6","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-98.800003","42.900002"
"185618","occ","","","18211","Gomphotheriidae","family","43240","Hemphillian","","10.3","4.9","3715","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-101.099998","33.700001"
"185628","occ","","","18213","Gomphotherium","genus","43247","Miocene","","23.03","5.333","3510","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-100.000000","42.700001"
"185648","occ","","","18216","Proboscidea","order","43230","Barstovian","","15.97","13.6","3173","Chordata","Mammalia","Proboscidea","","","1148","-100.000000","42.700001"
"185709","occ","","","18220","Proboscidea","order","43230","Barstovian","","15.97","13.6","1570","Chordata","Mammalia","Proboscidea","","","1148","-103.099998","40.799999"
"185717","occ","19677","","18221","Serbelodon","genus","43257","Clarendonian","","13.6","10.3","25376","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Serbelodon","1254","-103.099998","41.700001"
"185718","occ","19678","","18221","Pediolophodon","genus","108776","Clarendonian","","13.6","10.3","25376","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Pediolophodon","1254","-103.099998","41.700001"
"185737","occ","5819","","18222","Gomphotherium","genus","43247","Clarendonian","","13.6","10.3","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-103.800003","42.400002"
"185738","occ","5820","","18222","Gomphotheriidae","family","43240","Clarendonian","","13.6","10.3","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-103.800003","42.400002"
"185748","occ","10130","","18223","Gomphotheriidae","family","43240","Barstovian","","15.97","13.6","3503","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-100.070198","42.791599"
"185777","occ","","","18225","Gomphotheriidae","family","43240","Hemphillian","","10.3","4.9","2218","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-101.892197","41.300598"
"185821","occ","","","18230","Gomphotherium","genus","43247","Clarendonian","","13.6","10.3","3564","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-100.800003","42.799999"
"185839","occ","","","18233","Gomphotherium","genus","43247","Clarendonian","","13.6","10.3","3564","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-100.800003","42.799999"
"185862","occ","","","18235","Proboscidea","order","43230","Barstovian","Clarendonian","15.97","10.3","3510","Chordata","Mammalia","Proboscidea","","","1148","-99.699997","42.799999"
"185874","occ","5856","","18236","Serbelodon barbourensis","species","51515","Clarendonian","Hemphillian","13.6","4.9","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Serbelodon","1254","-101.800003","41.200001"
"185893","occ","5861","","18237","Gomphotherium","genus","43247","Hemphillian","","10.3","4.9","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-99.400002","39.799999"
"185895","occ","","","18239","Proboscidea","order","43230","Miocene","","23.03","5.333","3510","Chordata","Mammalia","Proboscidea","","","1148","-100.000000","42.700001"
"185938","occ","","","18243","Gomphotherium","genus","43247","Clarendonian","","13.6","10.3","3564","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-100.800003","42.799999"
"186002","occ","","","18247","Gomphotheriidae","family","43240","Late Hemphillian","","10.3","4.9","3510","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-98.126602","42.393501"
"186016","occ","","","18248","Gomphotherium","genus","43247","Barstovian","","15.97","13.6","781","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-103.800003","41.500000"
"186028","occ","","","18249","Gomphotheriidae","family","43240","Miocene","","23.03","5.333","3356","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-101.800003","43.200001"
"186032","occ","","","18250","Gomphotherium","genus","43247","Barstovian","","15.97","13.6","781","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-103.800003","41.500000"
"186033","occ","","","18250","Zygolophodon","genus","95509","Barstovian","","15.97","13.6","781","Chordata","Mammalia","Proboscidea","Mammutidae","Zygolophodon","1148","-103.800003","41.500000"
"186037","occ","","","18251","Gomphotherium","genus","43247","Clarendonian","","13.6","10.3","3510","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-100.000000","42.700001"
"186047","occ","5888","","18255","Tetrabelodon osborni","species","52204","Clarendonian","","13.6","10.3","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-100.800003","42.799999"
"186092","occ","","","18261","Gomphotherium","genus","43247","Barstovian","","15.97","13.6","3510","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-98.000000","42.599998"
"186117","occ","5905","","18263","Platybelodon loomisi","species","52405","Hemphillian","","10.3","4.9","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Platybelodon","1254","-99.900002","39.299999"
"186149","occ","","","18268","Gomphotherium","genus","43247","Clarendonian","","13.6","10.3","1710","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-100.599998","43.400002"
"186221","occ","5936","","18275","Tetrabelodon osborni","species","52204","Barstovian","","15.97","13.6","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-98.527100","40.023800"
"186222","occ","","","18275","Zygolophodon","genus","95509","Barstovian","","15.97","13.6","3510","Chordata","Mammalia","Proboscidea","Mammutidae","Zygolophodon","1148","-98.527100","40.023800"
"186316","occ","5975","","18284","Tetrabelodon osborni","species","52204","Barstovian","","15.97","13.6","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-100.033333","42.783333"
"186317","occ","","","18284","Zygolophodon","genus","95509","Barstovian","","15.97","13.6","3510","Chordata","Mammalia","Proboscidea","Mammutidae","Zygolophodon","1148","-100.033333","42.783333"
"186355","occ","","","18294","Gomphotherium","genus","43247","Clarendonian","","13.6","10.3","3564","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-100.800003","42.799999"
"186370","occ","5989","","18295","Serbelodon barbourensis","species","51515","Clarendonian","Hemphillian","13.6","4.9","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Serbelodon","1254","-101.800003","41.200001"
"186371","occ","","","18295","Mammutidae","family","43273","Clarendonian","Hemphillian","13.6","4.9","2218","Chordata","Mammalia","Proboscidea","Mammutidae","","1148","-101.800003","41.200001"
"186386","occ","","","18297","Proboscidea","order","43230","Miocene","","23.03","5.333","3446","Chordata","Mammalia","Proboscidea","","","1148","-100.699997","43.200001"
"186392","occ","","","18298","Gomphotheriidae","family","43240","Late Clarendonian","late Early Hemphillian","13.6","4.9","3510","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-101.800003","41.200001"
"186456","occ","6018","","18304","Mammut","genus","43274","Hemphillian","","10.3","4.9","3013","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut","1187","-101.400002","36.700001"
"186463","occ","","","18305","Amebelodon fricki","species","43966","Clarendonian","Hemphillian","13.6","4.9","3510","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Amebelodon","1254","-102.400002","41.400002"
"186477","occ","6021","","18307","Amebelodon britti","species","43963","Miocene","","23.03","5.333","2200","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Amebelodon","1254","-100.699997","35.799999"
"186484","occ","","","18308","Gomphotheriidae","family","43240","Miocene","","23.03","5.333","6208","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-100.099998","36.099998"
"186502","occ","","","18313","Gomphotheriidae","family","43240","Miocene","","23.03","5.333","3510","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-100.800003","42.799999"
"186508","occ","","","18314","Gomphotheriidae","family","43240","Clarendonian","","13.6","10.3","3475","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-98.500000","40.099998"
"186524","occ","","","18315","Gomphotheriidae","family","43240","Clarendonian","","13.6","10.3","3475","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-98.500000","40.099998"
"186542","occ","","","18316","Gomphotheriidae","family","43240","Clarendonian","","13.6","10.3","3475","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-98.500000","40.099998"
"186556","occ","","","18318","Gomphotheriidae","family","43240","Miocene","","23.03","5.333","3356","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-99.800003","43.200001"
"186586","occ","6053","","18321","Platybelodon barnumbrowni","species","52404","Clarendonian","","13.6","10.3","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Platybelodon","1254","-100.800003","42.799999"
"186594","occ","6055","","18323","Mammut matthewi","species","47937","Hemphillian","","10.3","4.9","6294","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut","1187","-103.800003","42.400002"
"186595","occ","6056","","18323","Gomphotherium","genus","43247","Hemphillian","","10.3","4.9","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-103.800003","42.400002"
"186613","occ","","","18324","Eubelodon","genus","43245","Clarendonian","","13.6","10.3","3510","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Eubelodon","1254","-98.000000","42.299999"
"186625","occ","","","18325","Proboscidea","order","43230","Clarendonian","","13.6","10.3","3175","Chordata","Mammalia","Proboscidea","","","1148","-102.500000","43.299999"
"186682","occ","","","18331","Gomphotheriidae","family","43240","Clarendonian","","13.6","10.3","6193","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-100.800003","42.799999"
"186711","occ","6078","","18334","Tetrabelodon osborni","species","52204","Clarendonian","","13.6","10.3","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-100.000000","42.700001"
"186722","occ","","","18338","Gomphotherium","genus","43247","Miocene","","23.03","5.333","3475","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-98.800003","39.799999"
"186740","occ","6086","","18342","Amebelodon britti","species","43963","Hemphillian","","10.3","4.9","2200","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Amebelodon","1254","-101.699997","38.900002"
"186754","occ","","","18343","Gomphotherium","genus","43247","Barstovian","","15.97","13.6","781","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-103.800003","41.500000"
"186792","occ","6099","","18349","Tetrabelodon osborni","species","52204","Clarendonian","","13.6","10.3","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-100.000000","42.700001"
"186798","occ","6102","","18350","Tetrabelodon osborni","species","52204","Miocene","","23.03","5.333","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-100.800003","42.799999"
"186834","occ","6114","","18355","Proboscidea","order","43230","Clarendonian","","13.6","10.3","6294","Chordata","Mammalia","Proboscidea","","","1148","-100.800003","35.000000"
"186893","occ","","","18359","Gomphotheriidae","family","43240","Late Hemphillian","","10.3","4.9","3510","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-97.846298","42.806801"
"186921","occ","","","18366","Gomphotheriidae","family","43240","Clarendonian","","13.6","10.3","3510","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-99.699997","42.799999"
"186955","occ","6148","","18375","Gomphotherium obscurum","species","47940","Miocene","","23.03","5.333","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-100.800003","35.000000"
"186959","occ","","","18376","Proboscidea","order","43230","Barstovian","","15.97","13.6","3510","Chordata","Mammalia","Proboscidea","","","1148","-99.699997","42.799999"
"186962","occ","","","18377","Gomphotheriidae","family","43240","Hemphillian","","10.3","4.9","2044","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-101.900002","33.700001"
"186971","occ","","","18379","Gomphotherium","genus","43247","Miocene","","23.03","5.333","1791","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-100.699997","43.200001"
"186986","occ","","","18384","Gomphotheriidae","family","43240","Miocene","","23.03","5.333","3356","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-100.699997","43.200001"
"186995","occ","","","18388","Gomphotheriidae","family","43240","Miocene","","23.03","5.333","3356","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-100.699997","43.200001"
