"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"913944","occ","","","113360","Sinopalaeocossus fangi","species","175931","Callovian","Oxfordian","166.1","157.3","34976"
"913945","occ","","","113371","Ningchengia minuta","species","175932","Callovian","Oxfordian","166.1","157.3","34963"
"913946","occ","","","113371","Palaeontinodes shabarovi","species","175933","Callovian","Oxfordian","166.1","157.3","34963"
"913947","occ","29233","","113371","Palaeontinodes reshuitangensis","species","281002","Callovian","Oxfordian","166.1","157.3","48644"
"913948","occ","","","113371","Plachutella magica","species","175935","Callovian","Oxfordian","166.1","157.3","34963"
"913949","occ","","","113372","Palaeontinodes daohugouensis","species","175936","Callovian","Oxfordian","166.1","157.3","34964"
"913950","occ","","","113372","Palaeontinodes locellus","species","175937","Callovian","Oxfordian","166.1","157.3","34964"
"913951","occ","","","113372","Palaeontinodes separatus","species","175938","Callovian","Oxfordian","166.1","157.3","34964"
"913952","occ","","","113372","Suljuktocossus chifengensis","species","175940","Callovian","Oxfordian","166.1","157.3","34964"
"913953","occ","","","113372","Abrocossus longus","species","175942","Callovian","Oxfordian","166.1","157.3","34964"
"913954","occ","","","113372","Neimenggucossus normalis","species","175944","Callovian","Oxfordian","166.1","157.3","34964"
"913955","occ","","","113371","Martynovocossus bellus","species","175945","Callovian","Oxfordian","166.1","157.3","34967"
"913957","occ","","","113371","Martynovocossus decorus","species","175947","Callovian","Oxfordian","166.1","157.3","34967"
"913958","occ","","","113371","Martynovocossus cheni","species","175948","Callovian","Oxfordian","166.1","157.3","34967"
"913959","occ","","","112664","Suljuktocossus yinae","species","175949","Callovian","Oxfordian","166.1","157.3","34968"
"913960","occ","","","113371","Ningchengia aspera","species","175952","Callovian","Oxfordian","166.1","157.3","34969"
"913961","occ","","","113360","Daohugoucossus shii","species","175955","Callovian","Oxfordian","166.1","157.3","34970"
"913962","occ","","","113360","Daohugoucossus parallelivenius","species","175956","Callovian","Oxfordian","166.1","157.3","34970"
"913963","occ","","","113360","Daohugoucossus lii","species","175957","Callovian","Oxfordian","166.1","157.3","34970"
"913967","occ","","","113371","Gansucossus typicus","species","175968","Callovian","Oxfordian","166.1","157.3","34973"
"913968","occ","","","113371","Daohugoucossus solutus","species","175969","Callovian","Oxfordian","166.1","157.3","34973"
"913969","occ","","","113371","Jurocercopis grandis","species","175974","Callovian","Oxfordian","166.1","157.3","34974"
"913970","occ","","","113371","Shuraboprosbole daohugouensis","species","175979","Callovian","Oxfordian","166.1","157.3","34975"
"913971","occ","","","113371","Shuraboprosbole minuta","species","175980","Callovian","Oxfordian","166.1","157.3","34975"
"913972","occ","","","113371","Shuraboprosbole media","species","175981","Callovian","Oxfordian","166.1","157.3","34975"
"913973","occ","","","113360","Sinopalaeocossus longicaulis","species","175982","Callovian","Oxfordian","166.1","157.3","34976"
"913974","occ","","","113360","Sinopalaeocossus laevis","species","175984","Callovian","Oxfordian","166.1","157.3","34976"
"913975","occ","","","113376","Martynovocossus ancylivenius","species","175985","Callovian","Oxfordian","166.1","157.3","34977"
"914082","occ","","","102504","Archescytina pusilla","species","176008","Irenian","","279.5","272.5","34980"
"915115","occ","","","103991","Membracidae","family","212522","Late Pleistocene","","0.126","0.0117","35027"
"915516","occ","","","113360","Originicorizus pyriformis","species","176447","Callovian","Oxfordian","166.1","157.3","35046"
"915517","occ","","","113360","Quatlocellus liae","species","176449","Callovian","Oxfordian","166.1","157.3","35046"
"915518","occ","","","113360","Grandicaputus bipunctatus","species","176451","Callovian","Oxfordian","166.1","157.3","35046"
"915519","occ","","","113360","Miracorizus punctatus","species","176453","Callovian","Oxfordian","166.1","157.3","35047"
"915520","occ","","","113360","Longiclavula calvata","species","176455","Callovian","Oxfordian","166.1","157.3","35047"
"915721","occ","","","31677","Cercopoidea","superfamily","175970","Ypresian","","56","47.8","35069"
"915722","occ","","","31677","Cicadellidae","family","175505","Ypresian","","56","47.8","35069"
"915723","occ","","","31677","Cixiidae","family","176536","Ypresian","","56","47.8","35069"
"915724","occ","","","31677","Ricaniidae","family","176537","Ypresian","","56","47.8","35069"
"915725","occ","","","31677","Aphididae","family","176538","Ypresian","","56","47.8","35069"
"915726","occ","","","31677","Gerridae","family","176540","Ypresian","","56","47.8","35069"
"915727","occ","","","31677","Megymeninae","subfamily","176542","Ypresian","","56","47.8","35069"
"915728","occ","","","31677","Cydnidae","family","176543","Ypresian","","56","47.8","35069"
"915729","occ","","","31677","Pentatomidae","family","71388","Ypresian","","56","47.8","35069"
"915829","occ","","","55493","Archescytinidae","family","176698","Norian","","228","208.5","34881"
"915838","occ","","","55493","Belostomatidae","family","71382","Norian","","228","208.5","34881"
"915839","occ","","","55493","Naucoridae","family","183684","Norian","","228","208.5","34881"
"916143","occ","","","104826","Parapermopsylla tricubita","species","176701","Artinskian","","290.1","279.3","5144"
"916144","occ","","","104826","Permopsylla americana","species","176704","Artinskian","","290.1","279.3","5144"
"920240","occ","","","105084","Cicadocoris minutus","species","177219","Hettangian","Sinemurian","201.3","190.8","35157"
"920241","occ","","","105084","Olgamartynovia parallela","species","177230","Hettangian","Sinemurian","201.3","190.8","35157"
"920242","occ","","","105084","Cicadocoris confinis","species","177237","Hettangian","Sinemurian","201.3","190.8","35157"
"920243","occ","","","105084","Cicadocoris arcuatus","species","177240","Hettangian","Sinemurian","201.3","190.8","35157"
"920244","occ","","","105084","Cicadocoris complexus","species","177263","Hettangian","Sinemurian","201.3","190.8","35157"
"920245","occ","","","105084","Cicadocoris conjunctus","species","177272","Hettangian","Sinemurian","201.3","190.8","35157"
"920246","occ","","","105084","Progonocimicidae","family","175917","Hettangian","Sinemurian","201.3","190.8","35157"
"920247","occ","","","105086","Cicadocoris frater","species","177221","Hettangian","Sinemurian","201.3","190.8","35157"
"920248","occ","","","105086","Olgamartynovia parallela","species","177230","Hettangian","Sinemurian","201.3","190.8","35157"
"920249","occ","","","105086","Cicadocoris affinis","species","177232","Hettangian","Sinemurian","201.3","190.8","35157"
"920250","occ","","","105086","Cicadocoris turanicus","species","177243","Hettangian","Sinemurian","201.3","190.8","51525"
"920251","occ","","","105086","Progonocimicidae","family","175917","Hettangian","Sinemurian","201.3","190.8","35157"
"920252","occ","","","105086","Cicadocoris sogjutensis","species","177251","Hettangian","Sinemurian","201.3","190.8","35157"
"920253","occ","","","105086","Progonocimicidae","family","175917","Hettangian","Sinemurian","201.3","190.8","35157"
"920254","occ","","","105086","Cicadocoris complexus","species","177263","Hettangian","Sinemurian","201.3","190.8","35157"
"920255","occ","","","105086","Progonocimicidae","family","175917","Hettangian","Sinemurian","201.3","190.8","35157"
"920256","occ","","","105087","Cicadocoris ignoratus","species","177225","Hettangian","Sinemurian","201.3","190.8","35157"
"920257","occ","","","105087","Progonocimicidae","family","175917","Hettangian","Sinemurian","201.3","190.8","35157"
"920258","occ","","","105087","Cicadocoris confinis","species","177237","Hettangian","Sinemurian","201.3","190.8","35157"
"920259","occ","","","105087","Cicadocoris similis","species","177238","Hettangian","Sinemurian","201.3","190.8","35157"
"920260","occ","","","105087","Cicadocoris arcuatus","species","177240","Hettangian","Sinemurian","201.3","190.8","35157"
"920261","occ","","","105087","Cicadocoris turanicus","species","177243","Hettangian","Sinemurian","201.3","190.8","35157"
"920262","occ","","","105087","Progonocimicidae","family","175917","Hettangian","Sinemurian","201.3","190.8","35157"
"920263","occ","","","105087","Cicadocoris sogjutensis","species","177251","Hettangian","Sinemurian","201.3","190.8","35157"
"920264","occ","","","105087","Cicadocoris complexus","species","177263","Hettangian","Sinemurian","201.3","190.8","35157"
"920265","occ","","","105003","Cicadocoris fidus","species","177227","Pliensbachian","","190.8","182.7","35157"
"920266","occ","","","105003","Cicadocoris affinis","species","177232","Pliensbachian","","190.8","182.7","35157"
"920267","occ","","","105003","Cicadocoris paulinus","species","177260","Pliensbachian","","190.8","182.7","35157"
"920268","occ","","","105003","Cicadocoris cognatus","species","177267","Pliensbachian","","190.8","182.7","35157"
"920269","occ","","","105088","Cicadocoris abditus","species","177235","Pliensbachian","","190.8","182.7","35157"
"920270","occ","","","105089","Cicadocoris abditus","species","177235","Pliensbachian","","190.8","182.7","35157"
"920389","occ","","","105086","Progonocimicidae","family","175917","Hettangian","Sinemurian","201.3","190.8","35157"
"920391","occ","","","105124","Cicadocoris abditus","species","177235","Pliensbachian","","190.8","182.7","35157"
"926324","occ","","","122352","Paracarsonus aphrodoides","species","178681","Late Aptian","","122.46","112.03","35358"
"926325","occ","","","122352","Platyjassites inflatifrons","species","178683","Late Aptian","","122.46","112.03","35358"
"926326","occ","","","122352","Platyjassites","genus","178682","Late Aptian","","122.46","112.03","35358"
"926327","occ","","","122352","Proerrhomus rugosus","species","178687","Late Aptian","","122.46","112.03","35358"
"926328","occ","","","122352","Proerrhomus","genus","178686","Late Aptian","","122.46","112.03","35358"
"926329","occ","","","122352","Proerrhomus","genus","178686","Late Aptian","","122.46","112.03","35358"
"926330","occ","","","122352","Ovojassus concavifer","species","178691","Late Aptian","","122.46","112.03","35358"
"926331","occ","","","122352","Ovojassus minor","species","178692","Late Aptian","","122.46","112.03","35358"
"926332","occ","","","122352","Hallex xestocephalus","species","178695","Late Aptian","","122.46","112.03","35358"
"926333","occ","","","122352","Hallex gongrogony","species","178696","Late Aptian","","122.46","112.03","35358"
"926334","occ","","","122352","Hallex brevipes","species","178697","Late Aptian","","122.46","112.03","35358"
"926335","occ","","","122352","Hallex laticeps","species","178698","Late Aptian","","122.46","112.03","35358"
"926336","occ","","","122352","Hallex gracilior","species","178699","Late Aptian","","122.46","112.03","35358"
"926338","occ","","","122352","Architettix compacta","species","178702","Late Aptian","","122.46","112.03","35358"
"926339","occ","","","122352","Cercopion reticulata","species","178705","Late Aptian","","122.46","112.03","35358"
"926340","occ","","","122352","Megaleurodes megocellata","species","178709","Late Aptian","","122.46","112.03","35358"
"926341","occ","","","122352","Acixiites immodesta","species","178712","Late Aptian","","122.46","112.03","35358"
"926342","occ","","","122352","Acixiites costalis","species","178713","Late Aptian","","122.46","112.03","35358"
"926343","occ","","","122352","Cixiidae","family","176536","Late Aptian","","122.46","112.03","35358"
"926344","occ","","","122352","Protodelphax miles","species","178718","Late Aptian","","122.46","112.03","35358"
"926345","occ","","","122352","Protodelphax macroceps","species","178719","Late Aptian","","122.46","112.03","35358"
"926346","occ","","","122352","Protodelphax rhinion","species","178720","Late Aptian","","122.46","112.03","35358"
