Species	Status
Aradus_creticus	extinct
Aradus_damzeni	extinct
Aradus_frater	extinct
Aradus_frateroides	extinct
Aradus_goellnerae	extinct
Aradus_grabenhorsti	extinct
Aradus_kotashevichi	extinct
Aradus_lativentris	extinct
Aradus_leptosomus	extinct
Aradus_macrosomus	extinct
Aradus_madagascariensis	extinct
Aradus_nicholasi	extinct
Aradus_penteneuros	extinct
Aradus_popovi	extinct
Aradus_rotundiventris	extinct
Aradus_superstes	extinct
Aradus_velteni	extinct
Aradus_voigti	extinct
Aradus_weitschati	extinct
Aragocylapus_miocaenicus	extinct
Araripebelostomum_martinsnetoi	extinct
Arcantivelia_petraudi	extinct
Archaecorixa_lata	extinct
Archaesalepta_schuhi	extinct
Archearadus_burmensis	extinct
Archearadus_elongatus	extinct
Archeglyphis_crassinervis	extinct
Archegocimex_geinitzi	extinct
Archegocimex_liadis	extinct
Archegocimex_primitiva	extinct
Archegocimicidae	extinct
Archemyiomma_carvalhoi	extinct
Archemyiomma_schaeferi	extinct
Archeofulvius_gulosus	extinct
Archeofulvius_kotejai	extinct
Archeoviparosiphum_baissense	extinct
Archeoviparosiphum_camptotropum	extinct
Archeoviparosiphum_latum	extinct
Archeoviparosiphum_malacum	extinct
Archeoviparosiphum_opimum	extinct
Archeoviparosiphum_tuanwangense	extinct
Archepopovia_yurii	extinct
Archescytina	extinct
Archescytina_carpenteri	extinct
Archescytina_fusca	extinct
Archescytina_gunderseni	extinct
Archescytina_kaltanica	extinct
Archescytina_kansasensis	extinct
Archescytina_kondomensis	extinct
Archescytina_maueriaeformis	extinct
Archescytina_muiri	extinct
Archescytina_permiana	extinct
Archescytina_prosbolioides	extinct
Archescytina_pusilla	extinct
Archescytina_sheimoensis	extinct
Archescytina_similis	extinct
Archescytina_sojanensis	extinct
Archescytina_sylvensis	extinct
Archescytina_tetraclada	extinct
Archescytina_tshekardaensis	extinct
Archescytina_zekkeli	extinct
Archescytinidae	extinct
Archicercopis	extinct
Archicercopis_falcatus	extinct
Archiconiopteryx_liasina	extinct
Archijassidae	extinct
Archijassus_heeri	extinct
Archijassus_minimus	extinct
Archijassus_minutus	extinct
Archijassus_morio	extinct
Archijassus_plurinervis	extinct
Archiokrisna_garciamarquezi	extinct
Archipsyche_eichstattensis	extinct
Architettix_compacta	extinct
Arctorthezia	extinct
Arctorthezia_antiqua	extinct
Arctorthezia_baltica	extinct
Ardela_grimmenensis	extinct
Aretsaya_therina	extinct
Argentinocicada_magna	extinct
Argentinocicada_minima	extinct
Argentinopheloscyta_forsterae	extinct
Argentinoscytina_clara	extinct
Arilus_faujasi	extinct
Arlecoris_louisi	extinct
Armanomiris_cretaceous	extinct
Armanomiris_klimaszewskii	extinct
Arnoldus	extinct
Arnoldus_capitatus	extinct
Arnoldus_clavatus	extinct
Arroyoscyta_novaemexicana	extinct
Asiocossus_subcostalis	extinct
Asiocula_lima	extinct
Asionecta_curtipes	extinct
Asiopsyllidium_unicum	extinct
Asiraca_albipuncta	extinct
Asopus_puncticollis	extinct
Aspidiotinae	extinct
Aspidiotus_crenulatus	extinct
Auchenorrhyncha	extinct
Aulieezidium_karatauense	extinct
Australocicada_arcucciae	extinct
Austris_raffelis	extinct
Austroprosbole_maculata	extinct
Austroprosboloides_vandijki	extinct
Austroscytina_imperfecta	extinct
Autrimpus_sambiorum	extinct
Aviorrhyncha_magnifica	extinct
Baeocossus_finchae	extinct
Baeocossus_fortunatus	extinct
Baetylus_kahramanus	extinct
Baisococcus_victoriae	extinct
Baissotea_infanta	extinct
Baissotea_peregrina	extinct
Baissotea_popovi	extinct
Bajsaphididae	extinct
Bajsaphis_abbreviata	extinct
Bajsaphis_cuspidata	extinct
Bajsaphis_eridmata	extinct
Bajsaphis_kononovae	extinct
Bajsaphis_pulchra	extinct
Bakharia_gibbera	extinct
Balticaphis	extinct
Balticaphis_exsiccata	extinct
Baltichaitophorus_jutlandicus	extinct
Balticixius_insignis	extinct
Balticococcus_oblicus	extinct
Balticococcus_spinosus	extinct
Balticofulvius_kulickae	extinct
Balticomaraphis_latens	extinct
Balticovelia_weitschati	extinct
Bandelnielsenia_chilena	extinct
Baninus_thuringiorum	extinct
Baptista_vetai	extinct
Bathysmatophorinae	extinct
Bathysmatophorini	extinct
Batrachomorphus_femoralis	extinct
Beaconiella_fennahi	extinct
Beaconiella_multivenata	extinct
Beaufortiscus	extinct
Beaufortiscus_dixi	extinct
Beipiaocoris_multifurcus	extinct
Bekkerscytina_primitiva	extinct
Bellicoris_mirabilis	extinct
Belmontocarta_perfecta	extinct
Belostoma_bakeri	extant
Belostomates_speciosum	extinct
Belostomatidae	extinct
Belostomatinae	extinct
Belpsylla_reticulata	extinct
Berendtaphis_cimicoides	extinct
Bernaea_neocomica	extinct
Bernaeinae	extinct
