Species	Status	min_age	max_age
Lalax_mutabilis	extinct	112.03	122.46
Lalax	extinct	112.03	122.46
Patulopes_setosa	extinct	112.03	122.46
Patulopes_myndoides	extinct	112.03	122.46
Patulopes	extinct	112.03	122.46
Carpopodus_difficilis	extinct	112.03	122.46
Carpopodus	extinct	112.03	122.46
Carpopodus	extinct	112.03	122.46
Psestocixius_fuscus	extinct	112.03	122.46
Psestocixius_delphax	extinct	112.03	122.46
Vulcanoia_apicalis	extinct	112.03	122.46
Vulcanoia_acuceps	extinct	112.03	122.46
Vulcanoia	extinct	112.03	122.46
Ilerdocossus_ningchengensis	extinct	122.46	125.45
Miracossus_ingentius	extinct	122.46	125.45
Yanocossus_guoi	extinct	125.45	130
Miracossus_ingentius	extinct	122.46	125.45
Ilerdocossus_fengningensis	extinct	125.45	130
Ilerdocossus_fengningensis	extinct	125.45	130
Thamnotettix_packardi	extinct	46.2	55.8
Euscelis	extinct	15.97	20.43
Procymophyes	extinct	15.97	20.43
Miogonates	extinct	15.97	20.43
Notonectidae	extinct	15.97	20.43
Saldidae	extinct	15.97	20.43
Cydnopsis_handlirschi	extinct	46.2	50.3
Jadera_interita	extinct	46.2	50.3
Eofulgorella_bradburyi	extinct	46.2	50.3
Leaphis_prima	extinct	242	247.2
Yanocossus_guoi	extinct	125.45	130
Anthoscytina_pustulosus	extinct	112.03	122.46
Anthoscytina_trinervus	extinct	112.03	122.46
Yanducixius_yihi	extinct	112.03	122.46
Yanducixius_pardalinus	extinct	112.03	122.46
Jiphara_wangi	extinct	112.03	122.46
Jiphara_reticulata	extinct	112.03	122.46
Cretocercopis_yii	extinct	112.03	122.46
Anthoscytina_parallelica	extinct	157.3	166.1
Sinoviparosiphum_lini	extinct	125.45	130
Samlandia	extinct	38	41.3
Glisachaemus_jonasdamzeni	extinct	33.9	38
Exilcrus_cameriferus	extinct	125.45	130
Miroculus_laticephalus	extinct	125.45	130
Auchenorrhyncha	extinct	247.2	251.2
Liassocicada_antecedens	extinct	182	183
Eurynotis_incisus	extinct	182	183
Fulgoridulum_egens	extinct	182	183
Procercopis_abscissa	extinct	182	183
Procercopis_wunnenbergi	extinct	182	183
Somatocoris_conservatus	extinct	182	183
Fulgoridium_fallerslebense	extinct	182	183
Fulgoridium_reduncum	extinct	182	183
Adelocoris_ambiguus	extinct	182	183
Corynecoris_occultatus	extinct	182	183
Elasmoscelidium_promotum	extinct	182	183
Elasmoscelidium_rectemarginatum	extinct	182	183
Ensphingocoris_parvulus	extinct	182	183
Fulgoridium_(Compactofulgoridium)_fronterotundum	extinct	182	183
Fulgoridium_(Compactofulgoridium)_obesum	extinct	182	183
Fulgoridium_(Procerofulgoridium)_verticillatum	extinct	182	183
Fulgoridium_(Productofulgoridium)_filiferum	extinct	182	183
Fulgoridium	extinct	182	183
Margaroptilon_formosum	extinct	182	183
Megalocoris_laticlavus	extinct	182	183
Procercopis_lacerata	extinct	182	183
Stiphroschema_longealatum	extinct	182	183
Tetrafulgoria_parallelogramma	extinct	182	183
Elasmoscelidium_boreale	extinct	182	183
Fulgoridium_incertecoloratum	extinct	182	183
Archegocimicidae	extinct	182	183
Archegocimicidae	extinct	182	183
Entomecoris_minor	extinct	182	183
Fulgoridium_(Metafulgoridium)_praetruncatum	extinct	182	183
Fulgoridium_hattorfense	extinct	182	183
Fulgoridium_silvaticum	extinct	182	183
Margaroptilon_cuneatum	extinct	182	183
Archijassus_heeri	extinct	182	183
Acromocoris_angustus	extinct	182	183
Fulgoridium_symmetricum	extinct	182	183
Fulgoridium_tenuimaculatum	extinct	182	183
Fulgoridium_violatum	extinct	182	183
Acromocoris_angustus	extinct	182	183
Elasmoscelidium_venulosum	extinct	182	183
Entomecoris_major	extinct	182	183
Entomecoris_morator	extinct	182	183
Euraspidium_granulosum	extinct	182	183
Fulgoridium_(Compactofulgoridium)_concameratum	extinct	182	183
Fulgoridium_(Compactofulgoridium)_decapitatum	extinct	182	183
Fulgoridium_(Compactofulgoridium)_paenintegrum	extinct	182	183
Fulgoridium_(Conofulgoridium)_antennatum	extinct	182	183
Fulgoridium_(Procerofulgoridium)_verticillatum	extinct	182	183
Fulgoridium_(Productofulgoridium)_incisum	extinct	182	183
Fulgoridium_basilaesum	extinct	182	183
Fulgoridium_cubitofurcatum	extinct	182	183
Fulgoridium_fabri	extinct	182	183
Fulgoridium_gottingense	extinct	182	183
Fulgoridium_hildesheimense	extinct	182	183
Fulgoridium_hondelanum	extinct	182	183
Fulgoridium_incurvatum	extinct	182	183
Fulgoridium_latius	extinct	182	183
Fulgoridium_posidonicum	extinct	182	183
Fulgoridium_praeobtusum	extinct	182	183
Fulgoridium_radioramosum	extinct	182	183
Fulgoridium_raromaculatum	extinct	182	183
Fulgoridium_silvaticum	extinct	182	183
Ischnocoris_bitoratus	extinct	182	183
Liassocicada_antecedens	extinct	182	183
Archegocimicidae	extinct	182	183
Margaroptilon_detruncatum	extinct	182	183
Margaroptilon_formosum	extinct	182	183
Margaroptilon_paucisinuatum	extinct	182	183
Margaroptilon_procerum	extinct	182	183
Mesomphalocoris_obtusus	extinct	182	183
Ophthalmocoris_liassicus	extinct	182	183
Procercopis_completa	extinct	182	183
Procercopis_debilis	extinct	182	183
Tetrafulgoria_paeneparallelum	extinct	182	183
Trachycoris_abbreviatus	extinct	182	183
Engynabis_tenuis	extinct	182	183
Fulgoridium_(Compactofulgoridium)_aries	extinct	182	183
Fulgoridium_(Metafulgoridium)_spatulaeforme	extinct	182	183
Fulgoridium_(Procerofulgoridium)_praefastigatum	extinct	182	183
Fulgoridium_(Productofulgoridium)_praeacutum	extinct	182	183
Fulgoridium_cubitoramosum	extinct	182	183
Fulgoridium_cuneiforme	extinct	182	183
Fulgoridium_exiguemaculatum	extinct	182	183
Fulgoridium_infuscatum	extinct	182	183
Fulgoridium_mancomarginatum	extinct	182	183
Fulgoridium_paulodilatatum	extinct	182	183
Fulgoridulum_egens	extinct	182	183
Fulgoridium_semiperspicuum	extinct	182	183
Homoptera	extinct	182	183
Deraiocoris_insculptus	extinct	182	183
Engerrophorus_nitidus	extinct	182	183
Eogerridium_gracile	extinct	182	183
Fulgoridium_(Procerofulgoridium)_planedorsatum	extinct	182	183
Fulgoridium_bodei	extinct	182	183
Fulgoridium_brunsvicense	extinct	182	183
Fulgoridium_rotundatum	extinct	182	183
Pronabis_utroquelaesus	extinct	182	183
Acromocoris_angustus	extinct	182	183
