"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","parent_no","reference_no","is_extant","n_occs","phylum","class","order","family","genus","type_taxon"
"53130","53130","txn","","species","Dioplotherium manigaulti","36878","18797","extinct","6","Chordata","Mammalia","Sirenia","Dugongidae","Dioplotherium",""
"65044","65045","txn","","species","Crenatosiren olseni","65046","23819","extinct","10","Chordata","Mammalia","Sirenia","Dugongidae","Crenatosiren",""
"350597","350597","txn","","species","Kaupitherium gruelli","350595","61636","extinct","1","Chordata","Mammalia","Sirenia","Dugongidae","Kaupitherium",""
"65058","65058","txn","","species","Miodugong brevicranius","65057","15040","extinct","1","Chordata","Mammalia","Sirenia","Dugongidae","Miodugong",""
"53135","53135","txn","","species","Hydrodamalis cuestae","36885","6029","extinct","13","Chordata","Mammalia","Sirenia","Dugongidae","Hydrodamalis",""
"86920","86931","txn","","species","Haligyna borealis","36885","12966","extinct","0","Chordata","Mammalia","Sirenia","Dugongidae","Hydrodamalis",""
"80943","53136","txn","","species","Hydrodamalis gigas","36885","24709","extinct","13","Chordata","Mammalia","Sirenia","Dugongidae","Hydrodamalis",""
"170242","170242","txn","","species","Dusisiren takasatensis","36879","33318","extinct","1","Chordata","Mammalia","Sirenia","Dugongidae","Dusisiren",""
"53134","53134","txn","","species","Dusisiren reinharti","36879","6029","extinct","2","Chordata","Mammalia","Sirenia","Dugongidae","Dusisiren",""
"65042","53132","txn","","species","Dusisiren jordani","36879","18766","extinct","10","Chordata","Mammalia","Sirenia","Dugongidae","Dusisiren",""
"65043","65043","txn","","species","Dusisiren dewana","36879","24176","extinct","4","Chordata","Mammalia","Sirenia","Dugongidae","Dusisiren",""
"65055","106331","txn","","species","Indosiren javanensis","36886","13404","extinct","1","Chordata","Mammalia","Sirenia","Dugongidae","Indosiren",""
"65056","65056","txn","","species","Indosiren koeningswaldi","36886","11991","extinct","1","Chordata","Mammalia","Sirenia","Dugongidae","Indosiren",""
"65031","65031","txn","","species","Metaxytherium lovisati","36890","18812","extinct","1","Chordata","Mammalia","Sirenia","Dugongidae","Metaxytherium",""
"65000","65000","txn","","species","Metaxytherium riveroi","36890","18732","extinct","1","Chordata","Mammalia","Sirenia","Dugongidae","Metaxytherium",""
"53119","65032","txn","","species","Metaxytherium medium","36890","29834","extinct","52","Chordata","Mammalia","Sirenia","Dugongidae","Metaxytherium",""
"65029","65029","txn","","species","Metaxytherium floridanum","36890","18771","extinct","10","Chordata","Mammalia","Sirenia","Dugongidae","Metaxytherium",""
"65036","65037","txn","","species","Metaxytherium subapenninum","36890","18809","extinct","20","Chordata","Mammalia","Sirenia","Dugongidae","Metaxytherium",""
"71179","65001","txn","","species","Metaxytherium crataegense","36890","16588","extinct","14","Chordata","Mammalia","Sirenia","Dugongidae","Metaxytherium",""
"64995","64995","txn","","species","Metaxytherium aquitaniae","36890","18736","extinct","1","Chordata","Mammalia","Sirenia","Dugongidae","Metaxytherium",""
"64996","64996","txn","","species","Metaxytherium arctodites","36890","16594","extinct","2","Chordata","Mammalia","Sirenia","Dugongidae","Metaxytherium",""
"65030","65030","txn","","species","Metaxytherium krahuletzi","36890","18790","extinct","21","Chordata","Mammalia","Sirenia","Dugongidae","Metaxytherium",""
"65034","65035","txn","","species","Metaxytherium serresii","36890","30024","extinct","25","Chordata","Mammalia","Sirenia","Dugongidae","Metaxytherium",""
"289540","289540","txn","","species","Metaxytherium albifontanum","36890","50317","extinct","3","Chordata","Mammalia","Sirenia","Dugongidae","Metaxytherium",""
"64994","350599","txn","","species","Lentiarenium christolii","350598","36327","extinct","6","Chordata","Mammalia","Sirenia","Dugongidae","Lentiarenium",""
"53112","64988","txn","","species","Eotheroides aegyptiacum","43287","16583","extinct","2","Chordata","Mammalia","Sirenia","Dugongidae","Eotheroides",""
"62931","62931","txn","","species","Eotheroides lambondrano","43287","31706","extinct","1","Chordata","Mammalia","Sirenia","Dugongidae","Eotheroides",""
"260243","260243","txn","","species","Eotheroides sandersi","43287","45230","extinct","7","Chordata","Mammalia","Sirenia","Dugongidae","Eotheroides",""
"145133","145133","txn","","species","Eotheroides waghapadarensis","43287","14951","extinct","1","Chordata","Mammalia","Sirenia","Dugongidae","Eotheroides",""
"260242","260242","txn","","species","Eotheroides clavigerum","43287","45230","extinct","8","Chordata","Mammalia","Sirenia","Dugongidae","Eotheroides",""
"81865","81865","txn","","species","Eotheroides babiae","43287","17794","extinct","1","Chordata","Mammalia","Sirenia","Dugongidae","Eotheroides",""
"64832","64832","txn","","species","Anisosiren pannonica","36874","12865","extinct","1","Chordata","Mammalia","Sirenia","Dugongidae","Anisosiren",""
"86751","86751","txn","","species","Halitherium bronni","36883","36410","extinct","1","Chordata","Mammalia","Sirenia","Dugongidae","Halitherium",""
"65059","65059","txn","","species","Paralitherium tarkanyense","36892","13723","extinct","1","Chordata","Mammalia","Sirenia","Dugongidae","Paralitherium",""
"64984","64984","txn","","species","Eosiren abeli","36880","18814","extinct","1","Chordata","Mammalia","Sirenia","Dugongidae","Eosiren",""
"64987","71178","txn","","species","Eosiren stromeri","36880","36308","extinct","4","Chordata","Mammalia","Sirenia","Dugongidae","Eosiren",""
"64985","64985","txn","","species","Eosiren libyca","36880","36316","extinct","8","Chordata","Mammalia","Sirenia","Dugongidae","Eosiren",""
"53159","53159","txn","","species","Eosiren imenti","36880","6023","extinct","1","Chordata","Mammalia","Sirenia","Dugongidae","Eosiren",""
"64855","64855","txn","","species","Sirenavus hungaricus","36901","13402","extinct","1","Chordata","Mammalia","Sirenia","Dugongidae","Sirenavus",""
"64964","64964","txn","","species","Prorastomus sirenoides","36895","18757","extinct","2","Chordata","Mammalia","Sirenia","Prorastomidae","Prorastomus",""
"70770","70770","txn","","species","Pezosiren portelli","70769","16569","extinct","1","Chordata","Mammalia","Sirenia","Prorastomidae","Pezosiren",""
