"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","parent_no","reference_no","is_extant","n_occs","phylum","class","order","family","genus","type_taxon"
"45405","45405","txn","","species","Cuvieronius arellanoi","43244","6294","extinct","0","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Cuvieronius",""
"47934","43965","txn","","species","Amebelodon floridanus","43241","2705","extinct","6","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Amebelodon",""
"90210","90211","txn","","species","Amebelodon grandincisivus","43241","19320","extinct","1","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Amebelodon",""
"43963","43963","txn","","species","Amebelodon britti","43241","2200","extinct","3","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Amebelodon",""
"43966","43966","txn","","species","Amebelodon fricki","43241","987","extinct","3","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Amebelodon",""
"161005","161005","txn","","species","Stegomastodon nebrascensis","43258","2707","extinct","0","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Stegomastodon",""
"117324","117325","txn","","species","Stegomastodon platensis","43258","26422","extinct","3","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Stegomastodon",""
"47939","51762","txn","","species","Stegomastodon mirificus","43258","59118","extinct","16","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Stegomastodon",""
"51764","51764","txn","","species","Stegomastodon primitivus","43258","6221","extinct","5","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Stegomastodon",""
"161001","161001","txn","","species","Stegomastodon aftoniae","43258","2707","extinct","2","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Stegomastodon",""
"252389","252389","txn","","species","Stegomastodon waringi","43258","43824","extinct","16","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Stegomastodon",""
"90205","90206","txn","","species","Choerolophodon pentelici","43243","19320","extinct","7","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Choerolophodon",""
"90207","90207","txn","","species","Choerolophodon anatolicus","43243","19320","extinct","1","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Choerolophodon",""
"67862","67863","txn","","species","Afrochoerodon kisumuensis","67861","14562","extinct","2","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Afrochoerodon",""
"46347","46347","txn","","species","Eubelodon morrilli","43245","2702","extinct","3","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Eubelodon",""
"159432","159432","txn","","species","Anancus petrocchii","43242","5361","extinct","0","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Anancus",""
"161973","161973","txn","","species","Anancus sivalensis","43242","31665","extinct","0","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Anancus",""
"339761","339761","txn","","species","Anancus orarius","43242","51404","extinct","1","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Anancus",""
